Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-LIMD1KO-C10-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh)
PIF1,6.14E-01,8.52E-01,9.39E-01,-1.06E+00,1.58E+01,1.68E+01
RSAD1,5.24E-01,8.04E-01,9.39E-01,-1.06E+00,1.42E+01,1.51E+01
INTS11,6.45E-01,8.63E-01,9.39E-01,-1.06E+00,1.30E+01,1.38E+01
VPS9D1-AS1,7.50E-01,9.10E-01,9.39E-01,-1.06E+00,1.66E+01,1.77E+01
NUFIP2,6.05E-01,8.48E-01,9.39E-01,-1.06E+00,8.64E+01,9.20E+01
TCEA1,5.77E-01,8.32E-01,9.39E-01,-1.07E+00,4.80E+01,5.12E+01
FRMD6-AS1,8.42E-01,9.46E-01,9.39E-01,-1.07E+00,2.39E+00,2.54E+00
H3F3B,3.25E-01,6.53E-01,9.39E-01,-1.07E+00,6.43E+02,6.85E+02
GTF2H3,5.05E-01,7.89E-01,9.39E-01,-1.07E+00,2.36E+01,2.52E+01
CPNE8,6.48E-01,8.64E-01,9.39E-01,-1.07E+00,8.92E+00,9.50E+00
RPRD2,4.50E-01,7.57E-01,9.39E-01,-1.07E+00,2.85E+01,3.04E+01
RPUSD4,4.22E-01,7.36E-01,9.39E-01,-1.07E+00,1.98E+01,2.11E+01
E2F2,5.29E-01,8.06E-01,9.39E-01,-1.07E+00,7.52E+00,8.01E+00
ISY1-RAB43,7.64E-01,9.16E-01,9.39E-01,-1.07E+00,2.03E+00,2.17E+00
DTWD2,9.79E-01,9.94E-01,9.39E-01,-1.07E+00,2.00E+00,2.13E+00
BANP,5.49E-01,8.17E-01,9.38E-01,-1.07E+00,1.82E+01,1.94E+01
ZNF76,9.82E-01,9.94E-01,9.38E-01,-1.07E+00,3.50E+00,3.73E+00
TMLHE,8.02E-01,9.30E-01,9.38E-01,-1.07E+00,3.29E+00,3.51E+00
RNF113A,5.26E-01,8.04E-01,9.38E-01,-1.07E+00,1.01E+01,1.08E+01
AC009362.1,9.49E-01,9.83E-01,9.38E-01,-1.07E+00,1.54E+01,1.64E+01
AGAP1,4.29E-01,7.40E-01,9.38E-01,-1.07E+00,2.47E+01,2.63E+01
GNPDA1,2.85E-01,6.12E-01,9.38E-01,-1.07E+00,1.03E+02,1.10E+02
FAM8A1,6.01E-01,8.46E-01,9.38E-01,-1.07E+00,4.19E+00,4.47E+00
HMGXB4,3.98E-01,7.17E-01,9.38E-01,-1.07E+00,4.72E+01,5.03E+01
GFPT2,6.07E-01,8.50E-01,9.38E-01,-1.07E+00,1.41E+01,1.50E+01
CAPZA1,5.14E-01,7.95E-01,9.38E-01,-1.07E+00,1.05E+02,1.12E+02
RPL37,5.82E-01,8.36E-01,9.38E-01,-1.07E+00,6.31E+02,6.73E+02
DAP3,7.05E-01,8.91E-01,9.38E-01,-1.07E+00,4.24E+01,4.52E+01
NSMCE1,5.40E-01,8.13E-01,9.38E-01,-1.07E+00,2.97E+01,3.17E+01
CCDC24,7.25E-01,9.00E-01,9.38E-01,-1.07E+00,3.28E+00,3.49E+00
AK9,6.35E-01,8.58E-01,9.38E-01,-1.07E+00,1.21E+00,1.29E+00
TPM3P9,7.07E-01,8.92E-01,9.38E-01,-1.07E+00,1.82E+01,1.95E+01
MTMR2,4.25E-01,7.38E-01,9.38E-01,-1.07E+00,1.70E+01,1.82E+01
STARD7,3.81E-01,7.03E-01,9.38E-01,-1.07E+00,1.02E+02,1.09E+02
CSNK1G1,4.69E-01,7.66E-01,9.38E-01,-1.07E+00,5.60E+01,5.98E+01
REEP3,4.05E-01,7.22E-01,9.38E-01,-1.07E+00,5.67E+01,6.05E+01
RNF4,4.63E-01,7.63E-01,9.38E-01,-1.07E+00,1.00E+01,1.07E+01
AC027644.3,6.35E-01,8.58E-01,9.38E-01,-1.07E+00,7.50E+00,8.00E+00
MPHOSPH6,4.01E-01,7.19E-01,9.38E-01,-1.07E+00,8.19E+01,8.74E+01
LRP11,5.86E-01,8.39E-01,9.38E-01,-1.07E+00,1.25E+01,1.34E+01
MAP3K7,5.65E-01,8.28E-01,9.38E-01,-1.07E+00,2.00E+01,2.13E+01
EXT2,8.92E-01,9.63E-01,9.38E-01,-1.07E+00,1.76E+01,1.87E+01
NUP133,3.57E-01,6.82E-01,9.38E-01,-1.07E+00,2.76E+01,2.95E+01
UCHL5,3.00E-01,6.29E-01,9.38E-01,-1.07E+00,7.31E+01,7.80E+01
ERI3,5.27E-01,8.05E-01,9.38E-01,-1.07E+00,1.08E+01,1.16E+01
UROS,4.30E-01,7.41E-01,9.38E-01,-1.07E+00,3.63E+01,3.87E+01
POLD2,3.69E-01,6.94E-01,9.38E-01,-1.07E+00,5.71E+01,6.09E+01
ATP5F1A,4.13E-01,7.29E-01,9.37E-01,-1.07E+00,1.01E+02,1.08E+02
BTF3,3.87E-01,7.10E-01,9.37E-01,-1.07E+00,2.89E+02,3.08E+02
NOCT,8.74E-01,9.58E-01,9.37E-01,-1.07E+00,1.76E+00,1.88E+00
RBM42,4.81E-01,7.75E-01,9.37E-01,-1.07E+00,5.33E+01,5.68E+01
SRA1,5.28E-01,8.06E-01,9.37E-01,-1.07E+00,2.32E+01,2.47E+01
ANKRD42,5.34E-01,8.08E-01,9.37E-01,-1.07E+00,6.36E+00,6.78E+00
SREBF1,7.45E-01,9.08E-01,9.37E-01,-1.07E+00,2.35E+01,2.51E+01
ZNF839,4.45E-01,7.53E-01,9.37E-01,-1.07E+00,1.39E+01,1.48E+01
NAB1,6.87E-01,8.82E-01,9.37E-01,-1.07E+00,1.83E+01,1.95E+01
PHKA1,5.41E-01,8.13E-01,9.37E-01,-1.07E+00,9.22E+00,9.84E+00
TMEM63A,6.06E-01,8.48E-01,9.37E-01,-1.07E+00,5.73E+00,6.11E+00
STX5,7.20E-01,8.97E-01,9.37E-01,-1.07E+00,1.11E+01,1.18E+01
NFYC,7.55E-01,9.12E-01,9.37E-01,-1.07E+00,1.33E+01,1.42E+01
AQR,3.32E-01,6.61E-01,9.37E-01,-1.07E+00,6.12E+01,6.53E+01
MORC3,5.09E-01,7.93E-01,9.37E-01,-1.07E+00,1.16E+01,1.24E+01
CEP95,4.51E-01,7.57E-01,9.37E-01,-1.07E+00,2.38E+01,2.54E+01
ILF2,5.69E-01,8.30E-01,9.37E-01,-1.07E+00,1.02E+02,1.09E+02
ATXN2L,7.49E-01,9.09E-01,9.37E-01,-1.07E+00,1.19E+01,1.27E+01
DAGLB,6.61E-01,8.69E-01,9.37E-01,-1.07E+00,7.68E+00,8.20E+00
CLYBL,9.27E-01,9.77E-01,9.37E-01,-1.07E+00,2.96E+00,3.16E+00
AC120114.4,6.37E-01,8.59E-01,9.37E-01,-1.07E+00,9.59E+00,1.02E+01
LSM6,7.71E-01,9.19E-01,9.37E-01,-1.07E+00,6.69E+00,7.14E+00
MAP7D2,8.26E-01,9.39E-01,9.37E-01,-1.07E+00,1.96E+01,2.09E+01
C1orf122,4.62E-01,7.63E-01,9.37E-01,-1.07E+00,2.79E+01,2.98E+01
TSPAN3,5.02E-01,7.87E-01,9.37E-01,-1.07E+00,1.03E+02,1.10E+02
C17orf100,9.66E-01,9.90E-01,9.37E-01,-1.07E+00,1.85E+00,1.97E+00
RBM4,5.07E-01,7.91E-01,9.37E-01,-1.07E+00,4.90E+01,5.23E+01
POLR1C,6.46E-01,8.63E-01,9.37E-01,-1.07E+00,1.67E+01,1.78E+01
CSNK1G2,3.72E-01,6.96E-01,9.37E-01,-1.07E+00,3.56E+01,3.81E+01
ISG20L2,5.29E-01,8.06E-01,9.37E-01,-1.07E+00,4.73E+01,5.05E+01
PMVK,5.28E-01,8.05E-01,9.37E-01,-1.07E+00,2.65E+01,2.83E+01
ANKS3,5.04E-01,7.88E-01,9.37E-01,-1.07E+00,1.00E+01,1.07E+01
UBR7,4.51E-01,7.58E-01,9.36E-01,-1.07E+00,1.78E+01,1.90E+01
SLC35D1,7.87E-01,9.25E-01,9.36E-01,-1.07E+00,7.91E+00,8.44E+00
CNNM3,7.54E-01,9.12E-01,9.36E-01,-1.07E+00,5.62E+00,6.00E+00
CACUL1,4.48E-01,7.55E-01,9.36E-01,-1.07E+00,7.10E+01,7.58E+01
PDAP1,3.60E-01,6.85E-01,9.36E-01,-1.07E+00,1.51E+02,1.62E+02
TSHZ1,7.11E-01,8.94E-01,9.36E-01,-1.07E+00,8.93E+00,9.53E+00
COG1,5.80E-01,8.34E-01,9.36E-01,-1.07E+00,1.93E+01,2.06E+01
SMARCA1,3.66E-01,6.91E-01,9.36E-01,-1.07E+00,9.82E+01,1.05E+02
SNRPA1,8.68E-01,9.55E-01,9.36E-01,-1.07E+00,3.47E+01,3.71E+01
COPS7A,8.45E-01,9.47E-01,9.36E-01,-1.07E+00,1.27E+01,1.36E+01
PFN2,9.09E-01,9.71E-01,9.36E-01,-1.07E+00,6.95E+01,7.42E+01
HOMER2,9.63E-01,9.89E-01,9.36E-01,-1.07E+00,5.43E+00,5.80E+00
COG4,5.36E-01,8.09E-01,9.36E-01,-1.07E+00,2.34E+01,2.50E+01
ATP5PB,5.43E-01,8.14E-01,9.36E-01,-1.07E+00,8.31E+01,8.88E+01
LUC7L3,1.54E-01,4.46E-01,9.36E-01,-1.07E+00,3.82E+02,4.08E+02
TXNDC5,9.73E-01,9.93E-01,9.36E-01,-1.07E+00,2.99E+01,3.19E+01
AL512625.1,7.11E-01,8.94E-01,9.36E-01,-1.07E+00,1.43E+01,1.53E+01
IFT22,6.33E-01,8.58E-01,9.36E-01,-1.07E+00,2.61E+01,2.79E+01
AL928654.1,6.86E-01,8.82E-01,9.36E-01,-1.07E+00,4.93E+00,5.27E+00
EMC8,3.88E-01,7.11E-01,9.36E-01,-1.07E+00,4.52E+01,4.83E+01
CUL7,4.32E-01,7.43E-01,9.35E-01,-1.07E+00,2.26E+00,2.41E+00
TTPAL,7.02E-01,8.90E-01,9.35E-01,-1.07E+00,1.28E+01,1.37E+01
UQCR10,5.61E-01,8.25E-01,9.35E-01,-1.07E+00,5.29E+01,5.66E+01
MT-ND4L,3.42E-01,6.69E-01,9.35E-01,-1.07E+00,4.80E+02,5.13E+02
RPL37AP8,7.81E-01,9.22E-01,9.35E-01,-1.07E+00,6.61E+00,7.06E+00
ZC2HC1A,4.15E-01,7.31E-01,9.35E-01,-1.07E+00,1.86E+01,1.99E+01
DDX42,2.19E-01,5.34E-01,9.35E-01,-1.07E+00,8.67E+01,9.27E+01
VAPA,5.02E-01,7.87E-01,9.35E-01,-1.07E+00,7.25E+01,7.75E+01
KHDRBS1,5.76E-01,8.32E-01,9.35E-01,-1.07E+00,1.71E+02,1.83E+02
IPO9,3.03E-01,6.33E-01,9.35E-01,-1.07E+00,1.07E+02,1.14E+02
TIMM10B,5.69E-01,8.30E-01,9.35E-01,-1.07E+00,1.66E+01,1.77E+01
CCDC50,4.50E-01,7.57E-01,9.35E-01,-1.07E+00,3.49E+01,3.73E+01
ERCC4,6.80E-01,8.78E-01,9.35E-01,-1.07E+00,2.92E+01,3.13E+01
DLGAP1-AS2,7.71E-01,9.19E-01,9.35E-01,-1.07E+00,2.94E+00,3.15E+00
PRKACB,5.25E-01,8.04E-01,9.35E-01,-1.07E+00,1.54E+01,1.64E+01
FTLP3,6.70E-01,8.74E-01,9.35E-01,-1.07E+00,1.59E+01,1.70E+01
SMAD1,7.07E-01,8.92E-01,9.35E-01,-1.07E+00,8.75E+00,9.36E+00
NACA,3.08E-01,6.37E-01,9.35E-01,-1.07E+00,3.98E+02,4.26E+02
ZFP91,2.29E-01,5.48E-01,9.35E-01,-1.07E+00,1.86E+02,1.99E+02
ARMCX7P,5.83E-01,8.36E-01,9.35E-01,-1.07E+00,1.76E+01,1.88E+01
RPL23AP82,6.55E-01,8.67E-01,9.35E-01,-1.07E+00,6.98E+00,7.47E+00
FAM47E-STBD1,6.34E-01,8.58E-01,9.35E-01,-1.07E+00,3.11E+00,3.33E+00
DYNLRB1,3.38E-01,6.64E-01,9.35E-01,-1.07E+00,8.49E+01,9.08E+01
CENPO,5.90E-01,8.41E-01,9.35E-01,-1.07E+00,1.80E+01,1.92E+01
CSE1L,4.41E-01,7.50E-01,9.35E-01,-1.07E+00,1.10E+02,1.18E+02
SHOC2,6.57E-01,8.68E-01,9.34E-01,-1.07E+00,2.67E+01,2.86E+01
MAGI1,6.34E-01,8.58E-01,9.34E-01,-1.07E+00,9.89E+00,1.06E+01
NOM1,5.03E-01,7.87E-01,9.34E-01,-1.07E+00,3.43E+01,3.67E+01
CCDC77,8.42E-01,9.46E-01,9.34E-01,-1.07E+00,1.58E+01,1.69E+01
PPP1CA,4.45E-01,7.53E-01,9.34E-01,-1.07E+00,1.01E+02,1.08E+02
DIMT1,4.38E-01,7.48E-01,9.34E-01,-1.07E+00,2.96E+01,3.17E+01
TUBD1,6.38E-01,8.59E-01,9.34E-01,-1.07E+00,1.58E+01,1.70E+01
FP565260.1,4.88E-01,7.79E-01,9.34E-01,-1.07E+00,1.39E+01,1.48E+01
RNASEH2B,4.79E-01,7.74E-01,9.34E-01,-1.07E+00,2.23E+01,2.39E+01
FAM96A,6.00E-01,8.45E-01,9.34E-01,-1.07E+00,6.89E+01,7.38E+01
AL807761.2,9.66E-01,9.90E-01,9.34E-01,-1.07E+00,1.24E+00,1.33E+00
MCMBP,7.69E-01,9.18E-01,9.34E-01,-1.07E+00,1.73E+01,1.86E+01
ARHGAP10,5.70E-01,8.30E-01,9.34E-01,-1.07E+00,1.31E+01,1.41E+01
METTL9,4.93E-01,7.81E-01,9.34E-01,-1.07E+00,4.56E+01,4.89E+01
MECP2,5.30E-01,8.06E-01,9.34E-01,-1.07E+00,3.08E+01,3.30E+01
CASC10,5.44E-01,8.15E-01,9.34E-01,-1.07E+00,3.33E+01,3.56E+01
CCT7,1.93E-01,5.04E-01,9.34E-01,-1.07E+00,2.36E+02,2.53E+02
UPP1,4.28E-01,7.40E-01,9.34E-01,-1.07E+00,3.19E+01,3.42E+01
EPC1,3.69E-01,6.94E-01,9.34E-01,-1.07E+00,4.69E+01,5.03E+01
PITRM1,6.05E-01,8.48E-01,9.34E-01,-1.07E+00,2.87E+01,3.07E+01
ZFP41,6.14E-01,8.52E-01,9.34E-01,-1.07E+00,1.60E+01,1.71E+01
CSNK2A1,3.78E-01,7.01E-01,9.34E-01,-1.07E+00,1.42E+02,1.52E+02
ZWINT,7.54E-01,9.12E-01,9.34E-01,-1.07E+00,5.04E+01,5.39E+01
NUP153,6.12E-01,8.52E-01,9.33E-01,-1.07E+00,1.27E+01,1.36E+01
SESN2,6.13E-01,8.52E-01,9.33E-01,-1.07E+00,1.24E+01,1.33E+01
NPM3,5.17E-01,7.98E-01,9.33E-01,-1.07E+00,8.51E+01,9.12E+01
ITGA5,8.86E-01,9.61E-01,9.33E-01,-1.07E+00,1.24E+01,1.33E+01
EAPP,4.28E-01,7.40E-01,9.33E-01,-1.07E+00,3.32E+01,3.55E+01
TK1,5.45E-01,8.15E-01,9.33E-01,-1.07E+00,8.74E+01,9.37E+01
SNX1,7.75E-01,9.19E-01,9.33E-01,-1.07E+00,4.22E+01,4.53E+01
GSPT1,3.23E-01,6.52E-01,9.33E-01,-1.07E+00,2.36E+02,2.53E+02
SLC4A1APP1,7.39E-01,9.06E-01,9.33E-01,-1.07E+00,5.49E+00,5.89E+00
MRPS6,4.93E-01,7.82E-01,9.33E-01,-1.07E+00,2.79E+01,2.99E+01
AC073610.2,6.46E-01,8.63E-01,9.33E-01,-1.07E+00,4.03E+00,4.33E+00
OAS3,5.75E-01,8.32E-01,9.33E-01,-1.07E+00,3.93E+01,4.22E+01
TRAM1,7.26E-01,9.00E-01,9.33E-01,-1.07E+00,1.86E+02,1.99E+02
FAM234A,5.02E-01,7.87E-01,9.33E-01,-1.07E+00,2.28E+01,2.44E+01
SPG7,1.97E-01,5.10E-01,9.32E-01,-1.07E+00,6.41E+01,6.87E+01
SNX7,8.45E-01,9.47E-01,9.32E-01,-1.07E+00,1.21E+01,1.29E+01
RPL27A,3.59E-01,6.84E-01,9.32E-01,-1.07E+00,2.00E+03,2.14E+03
GNG12,3.44E-01,6.70E-01,9.32E-01,-1.07E+00,6.51E+01,6.98E+01
CANX,3.37E-01,6.64E-01,9.32E-01,-1.07E+00,6.87E+02,7.37E+02
CINP,5.72E-01,8.31E-01,9.32E-01,-1.07E+00,2.99E+01,3.20E+01
U2AF1L4,9.17E-01,9.74E-01,9.32E-01,-1.07E+00,7.18E+00,7.70E+00
SLC25A33,6.48E-01,8.64E-01,9.32E-01,-1.07E+00,4.28E+00,4.60E+00
DLD,2.11E-01,5.25E-01,9.32E-01,-1.07E+00,5.43E+01,5.82E+01
MAU2,4.28E-01,7.40E-01,9.32E-01,-1.07E+00,1.09E+01,1.17E+01
SNTB2,5.24E-01,8.03E-01,9.32E-01,-1.07E+00,3.67E+01,3.94E+01
CSNK1D,3.70E-01,6.94E-01,9.32E-01,-1.07E+00,5.36E+01,5.75E+01
ARMH3,6.46E-01,8.63E-01,9.32E-01,-1.07E+00,7.52E+00,8.07E+00
CLK4,5.93E-01,8.41E-01,9.32E-01,-1.07E+00,8.10E+00,8.69E+00
RPS3AP5,7.15E-01,8.95E-01,9.32E-01,-1.07E+00,4.70E+00,5.04E+00
TTC21B,7.42E-01,9.07E-01,9.32E-01,-1.07E+00,4.65E+00,4.99E+00
SCAF8,5.10E-01,7.93E-01,9.32E-01,-1.07E+00,1.59E+01,1.71E+01
ASH1L,2.05E-01,5.18E-01,9.32E-01,-1.07E+00,9.50E+01,1.02E+02
TAF5L,8.82E-01,9.60E-01,9.32E-01,-1.07E+00,1.43E+01,1.54E+01
GTSE1,2.59E-01,5.82E-01,9.32E-01,-1.07E+00,4.96E+01,5.32E+01
BUD31,1.56E-01,4.49E-01,9.32E-01,-1.07E+00,8.79E+01,9.43E+01
VPS4A,4.43E-01,7.51E-01,9.32E-01,-1.07E+00,4.91E+01,5.28E+01
SSRP1,2.41E-01,5.61E-01,9.32E-01,-1.07E+00,4.42E+02,4.74E+02
PCNT,3.28E-01,6.57E-01,9.32E-01,-1.07E+00,4.34E+01,4.66E+01
CAPN7,5.89E-01,8.40E-01,9.32E-01,-1.07E+00,2.09E+01,2.24E+01
DUS4L,7.37E-01,9.04E-01,9.32E-01,-1.07E+00,1.07E+01,1.14E+01
AREL1,4.60E-01,7.63E-01,9.32E-01,-1.07E+00,1.97E+01,2.11E+01
RPL6,4.86E-01,7.78E-01,9.32E-01,-1.07E+00,1.19E+03,1.27E+03
SELENOT,7.02E-01,8.90E-01,9.31E-01,-1.07E+00,3.92E+01,4.21E+01
HDDC3,4.07E-01,7.25E-01,9.31E-01,-1.07E+00,3.18E+01,3.42E+01
PRKRIP1,4.55E-01,7.59E-01,9.31E-01,-1.07E+00,2.42E+01,2.60E+01
AMMECR1L,5.73E-01,8.32E-01,9.31E-01,-1.07E+00,1.27E+01,1.36E+01
NDUFAB1,3.77E-01,6.99E-01,9.31E-01,-1.07E+00,1.12E+02,1.20E+02
RPS13,2.05E-01,5.19E-01,9.31E-01,-1.07E+00,4.09E+02,4.39E+02
MED9,5.82E-01,8.35E-01,9.31E-01,-1.07E+00,9.01E+00,9.68E+00
SLC25A32,3.35E-01,6.62E-01,9.31E-01,-1.07E+00,2.22E+01,2.39E+01
AGO3,6.64E-01,8.70E-01,9.31E-01,-1.07E+00,1.49E+01,1.60E+01
ZNF503-AS2,7.43E-01,9.07E-01,9.31E-01,-1.07E+00,3.18E+00,3.42E+00
PDXDC1,4.76E-01,7.72E-01,9.31E-01,-1.07E+00,4.49E+01,4.82E+01
TCEAL4,2.60E-01,5.85E-01,9.31E-01,-1.07E+00,1.05E+02,1.13E+02
COX7B,4.20E-01,7.34E-01,9.31E-01,-1.07E+00,1.42E+02,1.52E+02
CCDC66,5.79E-01,8.34E-01,9.31E-01,-1.07E+00,1.73E+01,1.86E+01
ZSCAN29,4.54E-01,7.59E-01,9.31E-01,-1.07E+00,1.51E+01,1.63E+01
PILRB,6.72E-01,8.75E-01,9.31E-01,-1.07E+00,1.57E+01,1.68E+01
GALE,4.61E-01,7.63E-01,9.31E-01,-1.07E+00,2.82E+01,3.03E+01
BAG4,4.02E-01,7.20E-01,9.31E-01,-1.07E+00,3.54E+01,3.81E+01
SMG1P3,7.44E-01,9.07E-01,9.31E-01,-1.07E+00,3.30E+00,3.54E+00
EXD2,5.58E-01,8.22E-01,9.31E-01,-1.07E+00,6.72E+00,7.22E+00
TIMM22,5.08E-01,7.91E-01,9.30E-01,-1.07E+00,2.67E+01,2.86E+01
STK40,5.17E-01,7.98E-01,9.30E-01,-1.07E+00,3.87E+00,4.16E+00
PCNX4,4.58E-01,7.61E-01,9.30E-01,-1.07E+00,3.14E+01,3.37E+01
STRADA,6.51E-01,8.65E-01,9.30E-01,-1.07E+00,1.17E+01,1.26E+01
RPL39L,8.83E-01,9.60E-01,9.30E-01,-1.07E+00,1.52E+01,1.64E+01
ALKBH5,6.60E-01,8.69E-01,9.30E-01,-1.07E+00,4.58E+01,4.92E+01
ZNF614,6.41E-01,8.61E-01,9.30E-01,-1.07E+00,2.75E+00,2.95E+00
RNF123,6.25E-01,8.55E-01,9.30E-01,-1.07E+00,5.85E+00,6.29E+00
ZNHIT1,4.49E-01,7.57E-01,9.30E-01,-1.08E+00,2.62E+01,2.82E+01
NDFIP1,4.46E-01,7.53E-01,9.30E-01,-1.08E+00,4.89E+01,5.26E+01
TATDN1,3.94E-01,7.15E-01,9.30E-01,-1.08E+00,2.46E+01,2.65E+01
FOSL2,2.58E-01,5.81E-01,9.30E-01,-1.08E+00,4.57E+01,4.91E+01
SIAH1,9.60E-01,9.87E-01,9.30E-01,-1.08E+00,7.57E+00,8.14E+00
DPH2,6.63E-01,8.70E-01,9.30E-01,-1.08E+00,1.14E+01,1.23E+01
COA1,5.92E-01,8.41E-01,9.30E-01,-1.08E+00,1.99E+01,2.14E+01
C16orf58,4.98E-01,7.84E-01,9.30E-01,-1.08E+00,1.67E+01,1.79E+01
CTPS1,2.95E-01,6.23E-01,9.30E-01,-1.08E+00,4.91E+01,5.28E+01
MDH2,5.71E-01,8.30E-01,9.30E-01,-1.08E+00,1.34E+02,1.45E+02
CSRNP2,7.10E-01,8.94E-01,9.29E-01,-1.08E+00,3.04E+00,3.27E+00
HERC2P2,8.15E-01,9.35E-01,9.29E-01,-1.08E+00,2.36E+01,2.54E+01
AC125257.1,9.51E-01,9.84E-01,9.29E-01,-1.08E+00,5.33E+00,5.74E+00
NDUFA5,4.87E-01,7.78E-01,9.29E-01,-1.08E+00,6.08E+01,6.54E+01
RPS16,2.77E-01,6.04E-01,9.29E-01,-1.08E+00,2.19E+03,2.35E+03
TNRC6A,1.42E-01,4.27E-01,9.29E-01,-1.08E+00,1.13E+02,1.21E+02
NCOR1,4.33E-01,7.44E-01,9.29E-01,-1.08E+00,1.71E+02,1.84E+02
SEH1L,8.82E-01,9.60E-01,9.29E-01,-1.08E+00,1.29E+01,1.39E+01
PSME2P2,6.90E-01,8.84E-01,9.29E-01,-1.08E+00,5.88E+00,6.34E+00
ZBED4,4.94E-01,7.82E-01,9.29E-01,-1.08E+00,2.33E+01,2.51E+01
DTL,3.92E-01,7.14E-01,9.29E-01,-1.08E+00,4.08E+01,4.39E+01
RPSAP58,4.25E-01,7.38E-01,9.29E-01,-1.08E+00,1.52E+02,1.63E+02
MIB1,3.65E-01,6.90E-01,9.29E-01,-1.08E+00,3.72E+01,4.01E+01
IDH3B,4.75E-01,7.71E-01,9.29E-01,-1.08E+00,5.92E+01,6.38E+01
RAP2B,5.22E-01,8.02E-01,9.29E-01,-1.08E+00,2.51E+01,2.70E+01
SNHG26,9.87E-01,9.96E-01,9.29E-01,-1.08E+00,1.87E+00,2.02E+00
ZNF605,6.97E-01,8.87E-01,9.29E-01,-1.08E+00,1.52E+01,1.64E+01
TM2D2,4.23E-01,7.36E-01,9.28E-01,-1.08E+00,2.56E+01,2.75E+01
LRWD1,7.59E-01,9.13E-01,9.28E-01,-1.08E+00,1.47E+00,1.58E+00
PTPRA,4.11E-01,7.27E-01,9.28E-01,-1.08E+00,2.17E+01,2.33E+01
DNAH14,5.34E-01,8.08E-01,9.28E-01,-1.08E+00,1.40E+01,1.50E+01
AGPAT3,4.57E-01,7.61E-01,9.28E-01,-1.08E+00,5.23E+01,5.63E+01
PAFAH1B2,3.38E-01,6.64E-01,9.28E-01,-1.08E+00,1.04E+02,1.12E+02
ELF4,5.70E-01,8.30E-01,9.28E-01,-1.08E+00,2.24E+01,2.42E+01
PCBD1,4.06E-01,7.23E-01,9.28E-01,-1.08E+00,1.32E+02,1.43E+02
SREK1,2.78E-01,6.04E-01,9.28E-01,-1.08E+00,1.30E+02,1.41E+02
HYLS1,3.94E-01,7.15E-01,9.28E-01,-1.08E+00,1.49E+01,1.60E+01
TOMM70,3.05E-01,6.34E-01,9.28E-01,-1.08E+00,9.12E+01,9.83E+01
AP002495.2,5.89E-01,8.40E-01,9.28E-01,-1.08E+00,2.83E+00,3.05E+00
TNFAIP8L1,4.50E-01,7.57E-01,9.28E-01,-1.08E+00,1.42E+01,1.53E+01
ERO1A,4.36E-01,7.46E-01,9.28E-01,-1.08E+00,4.33E+01,4.66E+01
AKR1A1,7.79E-01,9.21E-01,9.28E-01,-1.08E+00,2.97E+01,3.20E+01
SYDE1,4.69E-01,7.66E-01,9.28E-01,-1.08E+00,8.78E+00,9.46E+00
ADAM17,4.79E-01,7.73E-01,9.28E-01,-1.08E+00,5.87E+01,6.32E+01
GMIP,4.78E-01,7.73E-01,9.28E-01,-1.08E+00,2.06E+00,2.22E+00
CHD9,1.99E-01,5.11E-01,9.28E-01,-1.08E+00,1.09E+02,1.18E+02
CDC14B,7.51E-01,9.10E-01,9.28E-01,-1.08E+00,7.30E+00,7.87E+00
AL050331.1,5.76E-01,8.32E-01,9.28E-01,-1.08E+00,3.12E+01,3.36E+01
ATAT1,5.58E-01,8.22E-01,9.28E-01,-1.08E+00,2.93E+00,3.16E+00
NUAK2,5.39E-01,8.12E-01,9.28E-01,-1.08E+00,4.15E+01,4.47E+01
RTRAF,4.68E-01,7.66E-01,9.28E-01,-1.08E+00,8.86E+01,9.55E+01
LPIN3,7.33E-01,9.03E-01,9.28E-01,-1.08E+00,6.98E+00,7.52E+00
CD81,3.96E-01,7.16E-01,9.27E-01,-1.08E+00,1.88E+02,2.03E+02
SETD3,3.01E-01,6.30E-01,9.27E-01,-1.08E+00,4.46E+01,4.81E+01
BICD1,5.29E-01,8.06E-01,9.27E-01,-1.08E+00,2.23E+01,2.41E+01
AL390719.1,4.70E-01,7.67E-01,9.27E-01,-1.08E+00,4.50E+00,4.85E+00
DEGS1,5.23E-01,8.02E-01,9.27E-01,-1.08E+00,2.22E+01,2.40E+01
AC137767.1,9.99E-01,1.00E+00,9.27E-01,-1.08E+00,2.54E+00,2.74E+00
ZNF200,6.20E-01,8.53E-01,9.27E-01,-1.08E+00,7.54E+00,8.13E+00
PGP,4.80E-01,7.74E-01,9.27E-01,-1.08E+00,7.41E+01,7.99E+01
RAN,5.42E-01,8.14E-01,9.27E-01,-1.08E+00,5.90E+02,6.37E+02
RASAL2,5.73E-01,8.32E-01,9.27E-01,-1.08E+00,2.31E+01,2.50E+01
