Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
Sep-04,5.04E-02,2.65E-01,2.49E+00,2.49E+00,1.06E+00,4.24E-01,1.316997261
ANGPTL4,5.19E-01,8.15E-01,2.49E+00,2.49E+00,7.69E+00,3.09E+00,1.314543354
CAMK1,4.01E-04,1.02E-02,2.48E+00,2.48E+00,5.07E+00,2.04E+00,1.311729871
ZNF599,2.68E-02,1.81E-01,2.46E+00,2.46E+00,2.04E+00,8.28E-01,1.299556034
IRF9,1.99E-03,3.25E-02,2.46E+00,2.46E+00,2.87E+00,1.17E+00,1.299144708
KITLG,8.32E-04,1.75E-02,2.46E+00,2.46E+00,1.03E+01,4.21E+00,1.296853975
MOCOS,4.26E-06,3.05E-04,2.45E+00,2.45E+00,1.52E+01,6.22E+00,1.291625187
CDON,2.58E-02,1.78E-01,2.44E+00,2.44E+00,2.31E+00,9.47E-01,1.288193753
WDTC1,4.45E-03,5.75E-02,2.44E+00,2.44E+00,3.76E+00,1.54E+00,1.288121594
CCDC68,6.96E-04,1.55E-02,2.43E+00,2.43E+00,1.40E+01,5.75E+00,1.281644123
IRS2,1.18E-03,2.25E-02,2.43E+00,2.43E+00,4.38E+01,1.80E+01,1.280393541
AK7,5.13E-01,8.12E-01,2.43E+00,2.43E+00,3.18E+00,1.31E+00,1.278623493
ZNF223,2.93E-02,1.91E-01,2.42E+00,2.42E+00,1.25E+00,5.18E-01,1.27560725
NUDT13,1.90E-02,1.47E-01,2.42E+00,2.42E+00,1.43E+00,5.91E-01,1.274634319
RHOB,6.01E-06,3.94E-04,2.42E+00,2.42E+00,3.44E+01,1.42E+01,1.273199804
DNAJC12,4.92E-01,7.98E-01,2.41E+00,2.41E+00,1.42E+01,5.88E+00,1.270607283
ALPK1,4.78E-06,3.33E-04,2.41E+00,2.41E+00,1.42E+01,5.88E+00,1.269787888
KDM4C,3.59E-05,1.61E-03,2.41E+00,2.41E+00,7.31E+00,3.04E+00,1.266508967
APOC1,6.16E-08,1.13E-05,2.41E+00,2.41E+00,7.93E+01,3.30E+01,1.26648242
LZTS3,2.89E-02,1.89E-01,2.40E+00,2.40E+00,4.29E+00,1.78E+00,1.26480282
AC015982.1,2.02E-01,5.44E-01,2.40E+00,2.40E+00,1.33E+00,5.55E-01,1.264279797
TP53I11,4.65E-07,5.33E-05,2.39E+00,2.39E+00,4.43E+01,1.85E+01,1.257006482
DKK3,1.88E-02,1.46E-01,2.39E+00,2.39E+00,3.82E+00,1.60E+00,1.256498847
STEAP1,6.20E-01,8.69E-01,2.39E+00,2.39E+00,3.75E+01,1.57E+01,1.256424564
IGFBP3,3.06E-04,8.26E-03,2.39E+00,2.39E+00,3.18E+01,1.33E+01,1.255773797
ATP8B1,6.99E-08,1.18E-05,2.39E+00,2.39E+00,1.34E+01,5.62E+00,1.255096997
KCNAB3,5.98E-02,2.92E-01,2.39E+00,2.39E+00,2.54E+00,1.07E+00,1.254921357
CPM,4.95E-10,2.81E-07,2.38E+00,2.38E+00,1.99E+01,8.36E+00,1.252190712
RGS14,3.59E-02,2.17E-01,2.38E+00,2.38E+00,3.69E+00,1.55E+00,1.250181502
LIMA1,7.62E-06,4.70E-04,2.38E+00,2.38E+00,2.06E+01,8.66E+00,1.249123426
CLMN,1.69E-07,2.37E-05,2.37E+00,2.37E+00,5.07E+01,2.14E+01,1.244980838
CXXC5,4.58E-05,1.91E-03,2.37E+00,2.37E+00,9.45E+01,3.99E+01,1.244026214
ANXA4,4.50E-04,1.11E-02,2.37E+00,2.37E+00,9.77E+01,4.13E+01,1.242956601
METTL7B,8.40E-03,8.73E-02,2.37E+00,2.37E+00,5.87E+00,2.48E+00,1.242077164
ZHX2,1.74E-02,1.39E-01,2.36E+00,2.36E+00,1.95E+00,8.25E-01,1.240425563
BMP1,1.44E-05,7.86E-04,2.35E+00,2.35E+00,1.66E+01,7.06E+00,1.234261496
GSDMB,1.71E-01,5.00E-01,2.35E+00,2.35E+00,1.66E+00,7.08E-01,1.23203206
FN1,1.59E-08,4.14E-06,2.35E+00,2.35E+00,6.13E+01,2.61E+01,1.231612253
FOXO1,1.60E-03,2.79E-02,2.34E+00,2.34E+00,4.53E+00,1.93E+00,1.228477554
AC010733.2,6.11E-01,8.66E-01,2.34E+00,2.34E+00,3.78E+00,1.61E+00,1.228268697
ERN1,6.72E-04,1.51E-02,2.34E+00,2.34E+00,7.66E+00,3.27E+00,1.226767491
HR,1.48E-02,1.25E-01,2.34E+00,2.34E+00,7.46E+00,3.19E+00,1.22546226
NTRK3,6.50E-01,8.83E-01,2.34E+00,2.34E+00,3.05E+01,1.31E+01,1.224591944
TRIM6,5.46E-01,8.31E-01,2.33E+00,2.33E+00,2.36E+01,1.01E+01,1.222816643
HMGA2,3.32E-06,2.57E-04,2.33E+00,2.33E+00,4.60E+01,1.97E+01,1.221699509
PLEKHN1,7.75E-03,8.36E-02,2.33E+00,2.33E+00,2.50E+00,1.07E+00,1.22044562
AC110769.2,1.88E-01,5.27E-01,2.33E+00,2.33E+00,1.85E+00,7.96E-01,1.219418943
OCLN,1.71E-03,2.92E-02,2.33E+00,2.33E+00,2.27E+01,9.75E+00,1.218550722
MOB3B,1.05E-02,1.01E-01,2.31E+00,2.31E+00,3.56E+00,1.54E+00,1.209679786
RBPMS,1.88E-03,3.16E-02,2.31E+00,2.31E+00,3.72E+01,1.61E+01,1.207969766
FAM131A,1.63E-01,4.86E-01,2.30E+00,2.30E+00,1.11E+00,4.81E-01,1.204564255
CNKSR2,3.61E-03,4.98E-02,2.30E+00,2.30E+00,3.74E+01,1.62E+01,1.203965823
HSP90AB2P,3.07E-02,1.97E-01,2.30E+00,2.30E+00,2.74E+00,1.19E+00,1.203452828
PBLD,2.19E-02,1.60E-01,2.30E+00,2.30E+00,2.81E+00,1.22E+00,1.202979531
ZBTB49,5.88E-02,2.90E-01,2.30E+00,2.30E+00,1.68E+00,7.30E-01,1.201175604
TPPP,7.76E-02,3.38E-01,2.29E+00,2.29E+00,4.45E+00,1.94E+00,1.197386266
RIC1,3.03E-04,8.22E-03,2.29E+00,2.29E+00,9.31E+00,4.06E+00,1.197100348
RTN2,1.98E-02,1.51E-01,2.29E+00,2.29E+00,2.34E+00,1.02E+00,1.196306667
NAT1,3.03E-02,1.95E-01,2.29E+00,2.29E+00,2.73E+00,1.19E+00,1.196014646
TBX18,4.57E-04,1.13E-02,2.29E+00,2.29E+00,1.30E+01,5.67E+00,1.195336116
VCAN,1.94E-05,9.91E-04,2.29E+00,2.29E+00,3.36E+02,1.47E+02,1.194280459
PPL,7.62E-02,3.34E-01,2.29E+00,2.29E+00,2.41E+00,1.05E+00,1.193671033
NGEF,4.47E-02,2.46E-01,2.29E+00,2.29E+00,5.05E+00,2.21E+00,1.19266989
SP2-AS1,1.42E-02,1.23E-01,2.28E+00,2.28E+00,2.57E+00,1.13E+00,1.187811717
KIAA0513,1.43E-02,1.23E-01,2.28E+00,2.28E+00,2.93E+00,1.29E+00,1.187097713
SNTB1,1.29E-01,4.40E-01,2.28E+00,2.28E+00,1.38E+00,6.07E-01,1.187013683
HMGB1P3,2.83E-02,1.87E-01,2.27E+00,2.27E+00,1.69E+00,7.44E-01,1.185556585
