Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
LRRC45,7.67E-01,9.34E-01,9.57E-01,-1.04E+00,7.14E+00,7.46E+00,#NUM!
PPP4R2,5.92E-01,8.55E-01,9.57E-01,-1.04E+00,8.04E+01,8.40E+01,#NUM!
PNN,4.39E-01,7.64E-01,9.57E-01,-1.04E+00,2.12E+02,2.21E+02,#NUM!
GSTO1,5.00E-01,8.04E-01,9.57E-01,-1.04E+00,7.14E+01,7.46E+01,#NUM!
CYB5R1,8.02E-01,9.46E-01,9.57E-01,-1.04E+00,1.11E+01,1.16E+01,#NUM!
IRX5,5.19E-01,8.15E-01,9.57E-01,-1.04E+00,3.17E+00,3.31E+00,#NUM!
B3GALT6,6.58E-01,8.87E-01,9.57E-01,-1.04E+00,2.39E+01,2.50E+01,#NUM!
PFDN6,6.46E-01,8.81E-01,9.57E-01,-1.04E+00,2.38E+01,2.49E+01,#NUM!
BOLA3,9.52E-01,9.89E-01,9.57E-01,-1.04E+00,5.57E+01,5.82E+01,#NUM!
FBL,5.82E-01,8.51E-01,9.57E-01,-1.04E+00,7.15E+02,7.47E+02,#NUM!
ZSCAN26,9.06E-01,9.79E-01,9.57E-01,-1.04E+00,3.41E+00,3.56E+00,#NUM!
DCTPP1,5.21E-01,8.16E-01,9.57E-01,-1.04E+00,7.64E+01,7.98E+01,#NUM!
NCOA4,6.14E-01,8.66E-01,9.57E-01,-1.05E+00,4.78E+01,4.99E+01,#NUM!
ZNF485,7.92E-01,9.43E-01,9.57E-01,-1.05E+00,2.08E+00,2.17E+00,#NUM!
LYN,6.18E-01,8.69E-01,9.57E-01,-1.05E+00,3.24E+01,3.39E+01,#NUM!
MLYCD,6.52E-01,8.84E-01,9.57E-01,-1.05E+00,1.01E+01,1.05E+01,#NUM!
UTP6,9.48E-01,9.88E-01,9.57E-01,-1.05E+00,2.48E+01,2.60E+01,#NUM!
JRKL,7.24E-01,9.19E-01,9.57E-01,-1.05E+00,1.20E+01,1.26E+01,#NUM!
PSMD7,4.78E-01,7.88E-01,9.57E-01,-1.05E+00,1.64E+02,1.71E+02,#NUM!
ARHGAP11A,6.00E-01,8.59E-01,9.57E-01,-1.05E+00,1.10E+02,1.15E+02,#NUM!
NABP2,5.69E-01,8.44E-01,9.57E-01,-1.05E+00,5.18E+01,5.41E+01,#NUM!
EIF2B2,5.49E-01,8.33E-01,9.57E-01,-1.05E+00,3.02E+01,3.16E+01,#NUM!
MTND4P12,9.82E-01,9.96E-01,9.57E-01,-1.05E+00,9.70E-01,1.01E+00,#NUM!
KIAA2013,7.49E-01,9.28E-01,9.57E-01,-1.05E+00,2.29E+01,2.40E+01,#NUM!
ATAD2B,6.18E-01,8.69E-01,9.57E-01,-1.05E+00,2.13E+01,2.23E+01,#NUM!
C1orf43,8.28E-01,9.55E-01,9.56E-01,-1.05E+00,8.41E+01,8.79E+01,#NUM!
ZNF57,9.24E-01,9.82E-01,9.56E-01,-1.05E+00,1.32E+00,1.38E+00,#NUM!
CCT8,4.75E-01,7.86E-01,9.56E-01,-1.05E+00,1.81E+02,1.89E+02,#NUM!
ICAM3,7.33E-01,9.23E-01,9.56E-01,-1.05E+00,5.66E+00,5.92E+00,#NUM!
NCOA1,7.07E-01,9.10E-01,9.56E-01,-1.05E+00,2.23E+01,2.34E+01,#NUM!
MRPS24,4.87E-01,7.94E-01,9.56E-01,-1.05E+00,1.28E+02,1.34E+02,#NUM!
ME2,7.44E-01,9.28E-01,9.56E-01,-1.05E+00,2.30E+01,2.41E+01,#NUM!
CCDC174,6.28E-01,8.73E-01,9.56E-01,-1.05E+00,2.77E+01,2.90E+01,#NUM!
RPL24P4,6.39E-01,8.77E-01,9.56E-01,-1.05E+00,5.14E+01,5.37E+01,#NUM!
SUMO2,4.33E-01,7.60E-01,9.56E-01,-1.05E+00,3.82E+02,4.00E+02,#NUM!
NOTCH2,8.85E-01,9.73E-01,9.56E-01,-1.05E+00,9.72E+00,1.02E+01,#NUM!
AGAP2-AS1,8.11E-01,9.50E-01,9.56E-01,-1.05E+00,4.83E+00,5.06E+00,#NUM!
QSER1,4.66E-01,7.80E-01,9.56E-01,-1.05E+00,1.12E+02,1.18E+02,#NUM!
DIMT1,6.60E-01,8.87E-01,9.56E-01,-1.05E+00,2.96E+01,3.10E+01,#NUM!
ATM,6.72E-01,8.92E-01,9.56E-01,-1.05E+00,1.98E+01,2.08E+01,#NUM!
NFKBIE,5.61E-01,8.39E-01,9.56E-01,-1.05E+00,4.03E+00,4.22E+00,#NUM!
ZNF419,7.76E-01,9.38E-01,9.56E-01,-1.05E+00,8.98E+00,9.40E+00,#NUM!
ABHD15,7.08E-01,9.10E-01,9.56E-01,-1.05E+00,2.15E+01,2.25E+01,#NUM!
TMEM208,5.66E-01,8.43E-01,9.56E-01,-1.05E+00,3.86E+01,4.04E+01,#NUM!
RBM12,6.06E-01,8.62E-01,9.56E-01,-1.05E+00,4.06E+01,4.25E+01,#NUM!
MAIP1,9.99E-01,1.00E+00,9.56E-01,-1.05E+00,9.07E+00,9.49E+00,#NUM!
NAPB,9.66E-01,9.93E-01,9.56E-01,-1.05E+00,5.35E+00,5.60E+00,#NUM!
TESC,9.77E-01,9.95E-01,9.56E-01,-1.05E+00,3.48E+01,3.64E+01,#NUM!
LRSAM1,4.24E-01,7.53E-01,9.56E-01,-1.05E+00,8.47E+00,8.86E+00,#NUM!
LARP6,5.96E-01,8.58E-01,9.55E-01,-1.05E+00,2.46E+01,2.58E+01,#NUM!
BTG3,5.88E-01,8.53E-01,9.55E-01,-1.05E+00,1.61E+01,1.68E+01,#NUM!
NINJ1,6.83E-01,8.99E-01,9.55E-01,-1.05E+00,2.80E+01,2.93E+01,#NUM!
ATAD3A,5.87E-01,8.53E-01,9.55E-01,-1.05E+00,1.62E+01,1.70E+01,#NUM!
PILRB,9.08E-01,9.79E-01,9.55E-01,-1.05E+00,1.57E+01,1.64E+01,#NUM!
MUTYH,9.13E-01,9.80E-01,9.55E-01,-1.05E+00,3.37E+00,3.52E+00,#NUM!
STYX,6.85E-01,9.00E-01,9.55E-01,-1.05E+00,1.73E+01,1.81E+01,#NUM!
LAMA5,7.82E-01,9.41E-01,9.55E-01,-1.05E+00,4.38E+01,4.58E+01,#NUM!
VDAC1,4.41E-01,7.65E-01,9.55E-01,-1.05E+00,2.25E+02,2.36E+02,#NUM!
TST,6.78E-01,8.95E-01,9.55E-01,-1.05E+00,3.30E+01,3.45E+01,#NUM!
PTOV1,6.51E-01,8.83E-01,9.55E-01,-1.05E+00,3.11E+01,3.26E+01,#NUM!
FASTKD1,7.25E-01,9.19E-01,9.55E-01,-1.05E+00,1.39E+01,1.45E+01,#NUM!
PGAM1,4.96E-01,8.00E-01,9.55E-01,-1.05E+00,2.29E+02,2.40E+02,#NUM!
AL138724.1,6.31E-01,8.74E-01,9.55E-01,-1.05E+00,1.17E+00,1.23E+00,#NUM!
CHP1,5.32E-01,8.23E-01,9.55E-01,-1.05E+00,8.37E+01,8.76E+01,#NUM!
ABCE1,5.99E-01,8.59E-01,9.55E-01,-1.05E+00,8.60E+01,9.01E+01,#NUM!
AC025678.3,9.15E-01,9.80E-01,9.55E-01,-1.05E+00,2.01E+00,2.10E+00,#NUM!
UBFD1,7.75E-01,9.38E-01,9.55E-01,-1.05E+00,2.12E+01,2.22E+01,#NUM!
SHROOM1,7.20E-01,9.17E-01,9.55E-01,-1.05E+00,6.38E+00,6.69E+00,#NUM!
NBPF1,7.10E-01,9.11E-01,9.55E-01,-1.05E+00,3.99E+01,4.18E+01,#NUM!
CDC23,6.06E-01,8.62E-01,9.55E-01,-1.05E+00,1.97E+01,2.06E+01,#NUM!
GLRX3,5.43E-01,8.29E-01,9.55E-01,-1.05E+00,6.07E+01,6.36E+01,#NUM!
AC004477.1,8.48E-01,9.61E-01,9.55E-01,-1.05E+00,2.75E+00,2.88E+00,#NUM!
ACAD10,8.73E-01,9.69E-01,9.55E-01,-1.05E+00,7.28E+00,7.63E+00,#NUM!
TMEM160,7.43E-01,9.28E-01,9.55E-01,-1.05E+00,1.95E+01,2.04E+01,#NUM!
CEP170B,5.71E-01,8.44E-01,9.54E-01,-1.05E+00,2.86E+01,2.99E+01,#NUM!
NDUFS6,5.17E-01,8.14E-01,9.54E-01,-1.05E+00,1.59E+02,1.66E+02,#NUM!
SENP1,5.68E-01,8.43E-01,9.54E-01,-1.05E+00,3.39E+01,3.55E+01,#NUM!
RILPL1,8.83E-01,9.72E-01,9.54E-01,-1.05E+00,6.99E+00,7.32E+00,#NUM!
NUFIP1,6.28E-01,8.73E-01,9.54E-01,-1.05E+00,1.56E+01,1.64E+01,#NUM!
IFT74,6.15E-01,8.67E-01,9.54E-01,-1.05E+00,3.91E+01,4.09E+01,#NUM!
TCF3,5.00E-01,8.04E-01,9.54E-01,-1.05E+00,4.19E+01,4.40E+01,#NUM!
AC008966.1,8.58E-01,9.63E-01,9.54E-01,-1.05E+00,3.16E+00,3.32E+00,#NUM!
C16orf74,8.30E-01,9.56E-01,9.54E-01,-1.05E+00,8.45E+00,8.86E+00,#NUM!
PTGR2,8.77E-01,9.70E-01,9.54E-01,-1.05E+00,8.60E+00,9.02E+00,#NUM!
GMFB,5.80E-01,8.49E-01,9.54E-01,-1.05E+00,2.91E+01,3.05E+01,#NUM!
SLC47A1,9.80E-01,9.95E-01,9.54E-01,-1.05E+00,1.53E+01,1.60E+01,#NUM!
AC007114.1,9.78E-01,9.95E-01,9.54E-01,-1.05E+00,2.27E+00,2.38E+00,#NUM!
KRTCAP2,5.74E-01,8.46E-01,9.54E-01,-1.05E+00,7.81E+01,8.19E+01,#NUM!
EIF3H,5.56E-01,8.36E-01,9.54E-01,-1.05E+00,1.13E+02,1.18E+02,#NUM!
CNOT6L,7.27E-01,9.20E-01,9.54E-01,-1.05E+00,1.93E+01,2.02E+01,#NUM!
HAUS1,6.81E-01,8.97E-01,9.54E-01,-1.05E+00,1.91E+01,2.00E+01,#NUM!
DNAJC24,6.88E-01,9.01E-01,9.54E-01,-1.05E+00,1.07E+01,1.13E+01,#NUM!
AC009487.2,8.01E-01,9.46E-01,9.54E-01,-1.05E+00,1.55E+01,1.62E+01,#NUM!
DPM1,8.97E-01,9.76E-01,9.54E-01,-1.05E+00,1.77E+01,1.85E+01,#NUM!
ARIH1,8.26E-01,9.54E-01,9.54E-01,-1.05E+00,4.97E+01,5.21E+01,#NUM!
DDX60L,6.89E-01,9.02E-01,9.54E-01,-1.05E+00,2.41E+01,2.52E+01,#NUM!
CENPQ,5.86E-01,8.53E-01,9.54E-01,-1.05E+00,1.87E+01,1.96E+01,#NUM!
RPL13AP7,9.66E-01,9.93E-01,9.54E-01,-1.05E+00,8.13E-01,8.53E-01,#NUM!
CDC27P1,9.44E-01,9.86E-01,9.54E-01,-1.05E+00,5.65E+00,5.92E+00,#NUM!
UBP1,4.82E-01,7.91E-01,9.53E-01,-1.05E+00,3.80E+01,3.98E+01,#NUM!
FARP2,6.95E-01,9.05E-01,9.53E-01,-1.05E+00,9.77E+00,1.02E+01,#NUM!
UBE2D3,3.86E-01,7.26E-01,9.53E-01,-1.05E+00,1.33E+02,1.40E+02,#NUM!
FAM215B,7.15E-01,9.14E-01,9.53E-01,-1.05E+00,4.34E+00,4.55E+00,#NUM!
AP003119.3,8.06E-01,9.47E-01,9.53E-01,-1.05E+00,8.62E+00,9.04E+00,#NUM!
B4GAT1,6.96E-01,9.06E-01,9.53E-01,-1.05E+00,2.65E+01,2.78E+01,#NUM!
SRRT,5.86E-01,8.52E-01,9.53E-01,-1.05E+00,1.20E+02,1.26E+02,#NUM!
ZNF330,6.54E-01,8.84E-01,9.53E-01,-1.05E+00,1.64E+01,1.72E+01,#NUM!
CARD19,4.42E-01,7.66E-01,9.53E-01,-1.05E+00,2.00E+01,2.09E+01,#NUM!
SCARB2,7.00E-01,9.08E-01,9.53E-01,-1.05E+00,2.59E+01,2.72E+01,#NUM!
BTD,8.79E-01,9.71E-01,9.53E-01,-1.05E+00,7.43E+00,7.79E+00,#NUM!
CDC42BPA,5.41E-01,8.27E-01,9.53E-01,-1.05E+00,6.37E+01,6.68E+01,#NUM!
N4BP1,6.17E-01,8.69E-01,9.53E-01,-1.05E+00,2.87E+01,3.01E+01,#NUM!
USF2,6.20E-01,8.69E-01,9.53E-01,-1.05E+00,8.03E+01,8.42E+01,#NUM!
AC005154.1,8.05E-01,9.46E-01,9.53E-01,-1.05E+00,7.30E+00,7.66E+00,#NUM!
OSBPL5,7.68E-01,9.35E-01,9.53E-01,-1.05E+00,4.18E+00,4.39E+00,#NUM!
TCF7L1,8.74E-01,9.70E-01,9.53E-01,-1.05E+00,4.53E+00,4.75E+00,#NUM!
ZNF768,6.30E-01,8.73E-01,9.53E-01,-1.05E+00,2.13E+01,2.23E+01,#NUM!
COX16,4.57E-01,7.74E-01,9.53E-01,-1.05E+00,8.53E+01,8.96E+01,#NUM!
NECTIN2,7.06E-01,9.10E-01,9.53E-01,-1.05E+00,2.56E+01,2.68E+01,#NUM!
DNHD1,7.91E-01,9.43E-01,9.53E-01,-1.05E+00,2.53E+00,2.66E+00,#NUM!
CHST10,9.61E-01,9.92E-01,9.53E-01,-1.05E+00,5.97E+00,6.27E+00,#NUM!
AP002807.1,7.53E-01,9.30E-01,9.53E-01,-1.05E+00,1.69E+01,1.77E+01,#NUM!
LAMP1,4.38E-01,7.63E-01,9.52E-01,-1.05E+00,7.97E+01,8.37E+01,#NUM!
MRPL9,5.01E-01,8.04E-01,9.52E-01,-1.05E+00,5.48E+01,5.75E+01,#NUM!
TBCD,5.79E-01,8.48E-01,9.52E-01,-1.05E+00,5.83E+01,6.12E+01,#NUM!
CAND1,5.25E-01,8.19E-01,9.52E-01,-1.05E+00,6.50E+01,6.82E+01,#NUM!
NIPA1,8.09E-01,9.48E-01,9.52E-01,-1.05E+00,1.60E+01,1.68E+01,#NUM!
MDP1,6.91E-01,9.03E-01,9.52E-01,-1.05E+00,1.34E+01,1.40E+01,#NUM!
NEO1,8.13E-01,9.51E-01,9.52E-01,-1.05E+00,3.14E+01,3.30E+01,#NUM!
DENND4B,6.68E-01,8.90E-01,9.52E-01,-1.05E+00,1.28E+01,1.35E+01,#NUM!
RAI14,3.85E-01,7.25E-01,9.52E-01,-1.05E+00,1.49E+02,1.57E+02,#NUM!
SGTA,5.07E-01,8.08E-01,9.52E-01,-1.05E+00,3.35E+01,3.52E+01,#NUM!
MYEF2,9.69E-01,9.94E-01,9.52E-01,-1.05E+00,3.57E+01,3.75E+01,#NUM!
WDR41,6.14E-01,8.66E-01,9.52E-01,-1.05E+00,2.34E+01,2.46E+01,#NUM!
SCCPDH,6.93E-01,9.04E-01,9.52E-01,-1.05E+00,3.05E+01,3.20E+01,#NUM!
STX6,9.13E-01,9.80E-01,9.52E-01,-1.05E+00,1.58E+01,1.66E+01,#NUM!
COMMD6,6.59E-01,8.87E-01,9.52E-01,-1.05E+00,4.78E+01,5.03E+01,#NUM!
INO80E,4.71E-01,7.84E-01,9.52E-01,-1.05E+00,4.50E+01,4.72E+01,#NUM!
IQCG,9.34E-01,9.84E-01,9.51E-01,-1.05E+00,3.47E+00,3.65E+00,#NUM!
CEP83,6.22E-01,8.70E-01,9.51E-01,-1.05E+00,2.49E+01,2.62E+01,#NUM!
LINC01003,5.94E-01,8.56E-01,9.51E-01,-1.05E+00,1.29E+00,1.35E+00,#NUM!
CYFIP1,5.98E-01,8.59E-01,9.51E-01,-1.05E+00,3.98E+01,4.18E+01,#NUM!
ZNF765,8.78E-01,9.70E-01,9.51E-01,-1.05E+00,3.35E+00,3.52E+00,#NUM!
LSM3,3.16E-01,6.63E-01,9.51E-01,-1.05E+00,1.10E+02,1.15E+02,#NUM!
SCFD2,6.82E-01,8.97E-01,9.51E-01,-1.05E+00,1.26E+01,1.33E+01,#NUM!
AL590399.1,7.93E-01,9.43E-01,9.51E-01,-1.05E+00,3.02E+00,3.18E+00,#NUM!
HSP90AB3P,5.85E-01,8.52E-01,9.51E-01,-1.05E+00,2.75E+02,2.89E+02,#NUM!
CMBL,8.10E-01,9.49E-01,9.51E-01,-1.05E+00,1.09E+01,1.14E+01,#NUM!
SNRPD3,5.63E-01,8.41E-01,9.51E-01,-1.05E+00,6.48E+01,6.82E+01,#NUM!
RRP9,6.65E-01,8.89E-01,9.51E-01,-1.05E+00,1.60E+01,1.69E+01,#NUM!
OSTM1,6.13E-01,8.66E-01,9.51E-01,-1.05E+00,1.98E+01,2.08E+01,#NUM!
KLHL17,6.38E-01,8.77E-01,9.51E-01,-1.05E+00,4.01E+00,4.21E+00,#NUM!
AC099850.2,7.04E-01,9.10E-01,9.51E-01,-1.05E+00,1.31E+01,1.37E+01,#NUM!
TOP1MT,6.08E-01,8.63E-01,9.51E-01,-1.05E+00,1.95E+01,2.06E+01,#NUM!
AAED1,5.27E-01,8.20E-01,9.51E-01,-1.05E+00,1.05E+01,1.10E+01,#NUM!
SRPRA,6.47E-01,8.82E-01,9.50E-01,-1.05E+00,2.08E+01,2.19E+01,#NUM!
TMEM123,8.05E-01,9.47E-01,9.50E-01,-1.05E+00,9.84E+01,1.03E+02,#NUM!
PLOD2,6.25E-01,8.71E-01,9.50E-01,-1.05E+00,6.28E+01,6.61E+01,#NUM!
ATF1,6.65E-01,8.89E-01,9.50E-01,-1.05E+00,1.46E+01,1.54E+01,#NUM!
SLITRK5,9.63E-01,9.92E-01,9.50E-01,-1.05E+00,5.37E+00,5.66E+00,#NUM!
MTND1P23,7.01E-01,9.08E-01,9.50E-01,-1.05E+00,4.71E+03,4.96E+03,#NUM!
AHCYL1,4.19E-01,7.50E-01,9.50E-01,-1.05E+00,2.22E+02,2.33E+02,#NUM!
TPD52L1,8.40E-01,9.58E-01,9.50E-01,-1.05E+00,1.39E+01,1.47E+01,#NUM!
INTS6,7.67E-01,9.34E-01,9.50E-01,-1.05E+00,1.62E+01,1.70E+01,#NUM!
TUBA1C,4.43E-01,7.66E-01,9.50E-01,-1.05E+00,7.03E+02,7.40E+02,#NUM!
ZNF394,6.00E-01,8.59E-01,9.50E-01,-1.05E+00,7.20E+00,7.58E+00,#NUM!
STN1,7.39E-01,9.26E-01,9.50E-01,-1.05E+00,6.28E+00,6.61E+00,#NUM!
SEM1,7.80E-01,9.40E-01,9.50E-01,-1.05E+00,1.02E+02,1.07E+02,#NUM!
IPO4,5.46E-01,8.31E-01,9.50E-01,-1.05E+00,3.88E+01,4.08E+01,#NUM!
ZFPM2-AS1,8.66E-01,9.67E-01,9.50E-01,-1.05E+00,4.05E+00,4.26E+00,#NUM!
ZNF839,5.19E-01,8.15E-01,9.50E-01,-1.05E+00,1.39E+01,1.46E+01,#NUM!
MRPL51,5.22E-01,8.16E-01,9.50E-01,-1.05E+00,1.55E+02,1.63E+02,#NUM!
SRF,4.23E-01,7.53E-01,9.50E-01,-1.05E+00,2.49E+01,2.62E+01,#NUM!
TENT2,9.76E-01,9.95E-01,9.50E-01,-1.05E+00,5.36E+00,5.65E+00,#NUM!
MRPL50,7.40E-01,9.27E-01,9.50E-01,-1.05E+00,1.72E+01,1.82E+01,#NUM!
CPD,6.29E-01,8.73E-01,9.50E-01,-1.05E+00,4.10E+01,4.31E+01,#NUM!
AL590867.2,4.25E-01,7.53E-01,9.50E-01,-1.05E+00,1.42E+01,1.50E+01,#NUM!
IST1,3.47E-01,6.93E-01,9.50E-01,-1.05E+00,6.80E+01,7.16E+01,#NUM!
LASP1,6.63E-01,8.88E-01,9.50E-01,-1.05E+00,3.13E+02,3.30E+02,#NUM!
PRELID3A,7.70E-01,9.36E-01,9.50E-01,-1.05E+00,3.05E+00,3.21E+00,#NUM!
KDM1A,6.75E-01,8.94E-01,9.50E-01,-1.05E+00,1.76E+01,1.85E+01,#NUM!
HDDC3,5.03E-01,8.05E-01,9.50E-01,-1.05E+00,3.18E+01,3.35E+01,#NUM!
DHX30,4.93E-01,7.99E-01,9.49E-01,-1.05E+00,4.97E+01,5.24E+01,#NUM!
WHAMMP3,7.53E-01,9.30E-01,9.49E-01,-1.05E+00,9.49E+00,9.99E+00,#NUM!
ARHGEF1,9.20E-01,9.81E-01,9.49E-01,-1.05E+00,4.97E+00,5.23E+00,#NUM!
GRAMD1B,6.18E-01,8.69E-01,9.49E-01,-1.05E+00,3.09E+01,3.25E+01,#NUM!
HNRNPA3,6.99E-01,9.07E-01,9.49E-01,-1.05E+00,1.29E+02,1.35E+02,#NUM!
RPS13,3.24E-01,6.71E-01,9.49E-01,-1.05E+00,4.09E+02,4.31E+02,#NUM!
GRK2,6.83E-01,8.98E-01,9.49E-01,-1.05E+00,1.31E+01,1.38E+01,#NUM!
AL133477.1,7.18E-01,9.15E-01,9.49E-01,-1.05E+00,3.52E+01,3.71E+01,#NUM!
AGK,8.66E-01,9.67E-01,9.49E-01,-1.05E+00,6.11E+00,6.43E+00,#NUM!
ZDHHC5,7.10E-01,9.11E-01,9.49E-01,-1.05E+00,2.86E+01,3.01E+01,#NUM!
TMEM63B,6.03E-01,8.61E-01,9.49E-01,-1.05E+00,2.43E+00,2.56E+00,#NUM!
LINC01006,7.82E-01,9.41E-01,9.49E-01,-1.05E+00,3.86E+00,4.07E+00,#NUM!
NICN1,5.73E-01,8.46E-01,9.49E-01,-1.05E+00,4.53E+00,4.77E+00,#NUM!
SOD2,4.91E-01,7.97E-01,9.49E-01,-1.05E+00,2.32E+01,2.45E+01,#NUM!
TRDMT1,4.51E-01,7.70E-01,9.49E-01,-1.05E+00,2.79E+00,2.94E+00,#NUM!
PCBP1,5.13E-01,8.12E-01,9.49E-01,-1.05E+00,1.34E+02,1.41E+02,#NUM!
MAPK12,5.98E-01,8.59E-01,9.49E-01,-1.05E+00,6.76E+00,7.13E+00,#NUM!
PCCA,7.28E-01,9.20E-01,9.49E-01,-1.05E+00,1.05E+01,1.10E+01,#NUM!
ATPAF1,6.23E-01,8.70E-01,9.49E-01,-1.05E+00,1.93E+01,2.04E+01,#NUM!
SBF2,7.05E-01,9.10E-01,9.49E-01,-1.05E+00,1.63E+01,1.72E+01,#NUM!
AL354702.1,9.22E-01,9.82E-01,9.49E-01,-1.05E+00,1.79E+00,1.88E+00,#NUM!
POLR2F,4.78E-01,7.88E-01,9.48E-01,-1.05E+00,5.20E+01,5.48E+01,#NUM!
STAT4,9.11E-01,9.80E-01,9.48E-01,-1.05E+00,3.62E+00,3.81E+00,#NUM!
SACM1L,7.42E-01,9.27E-01,9.48E-01,-1.05E+00,1.95E+01,2.06E+01,#NUM!
TOMM20,6.32E-01,8.75E-01,9.48E-01,-1.05E+00,8.17E+01,8.62E+01,#NUM!
NPM1P6,9.36E-01,9.84E-01,9.48E-01,-1.05E+00,1.88E+00,1.98E+00,#NUM!
KLF10,7.87E-01,9.41E-01,9.48E-01,-1.05E+00,1.25E+01,1.31E+01,#NUM!
COG2,7.60E-01,9.33E-01,9.48E-01,-1.05E+00,1.34E+01,1.41E+01,#NUM!
TBC1D32,7.53E-01,9.30E-01,9.48E-01,-1.05E+00,3.02E+00,3.18E+00,#NUM!
AC034236.1,5.28E-01,8.21E-01,9.48E-01,-1.05E+00,3.45E+01,3.64E+01,#NUM!
ZNF217,4.64E-01,7.78E-01,9.48E-01,-1.05E+00,3.11E+01,3.28E+01,#NUM!
IGF2R,6.85E-01,9.00E-01,9.48E-01,-1.05E+00,2.85E+01,3.01E+01,#NUM!
AC007068.1,3.45E-01,6.91E-01,9.48E-01,-1.05E+00,1.92E+01,2.03E+01,#NUM!
ARSB,9.63E-01,9.92E-01,9.48E-01,-1.05E+00,2.35E+00,2.48E+00,#NUM!
SPR,4.89E-01,7.95E-01,9.48E-01,-1.05E+00,3.14E+01,3.31E+01,#NUM!
TOP2B,4.86E-01,7.93E-01,9.48E-01,-1.06E+00,9.95E+01,1.05E+02,#NUM!
AFG3L1P,5.44E-01,8.30E-01,9.48E-01,-1.06E+00,1.81E+01,1.91E+01,#NUM!
MAN1A2,3.92E-01,7.30E-01,9.48E-01,-1.06E+00,9.08E+01,9.58E+01,#NUM!
HIST1H2BN,9.77E-01,9.95E-01,9.48E-01,-1.06E+00,1.74E+00,1.84E+00,#NUM!
MTHFS,6.95E-01,9.05E-01,9.48E-01,-1.06E+00,2.41E+01,2.54E+01,#NUM!
ZC3HC1,5.35E-01,8.24E-01,9.48E-01,-1.06E+00,1.42E+01,1.50E+01,#NUM!
MYL6B,5.09E-01,8.10E-01,9.48E-01,-1.06E+00,2.46E+01,2.60E+01,#NUM!
HNRNPM,4.22E-01,7.52E-01,9.48E-01,-1.06E+00,3.04E+02,3.20E+02,#NUM!
NRF1,6.94E-01,9.05E-01,9.48E-01,-1.06E+00,6.84E+00,7.22E+00,#NUM!
TUBG2,8.52E-01,9.62E-01,9.48E-01,-1.06E+00,7.73E+00,8.15E+00,#NUM!
HNRNPA0,5.41E-01,8.27E-01,9.48E-01,-1.06E+00,1.27E+02,1.34E+02,#NUM!
DNAJA1,4.64E-01,7.78E-01,9.48E-01,-1.06E+00,2.53E+02,2.67E+02,#NUM!
CASKIN2,8.07E-01,9.47E-01,9.47E-01,-1.06E+00,5.23E+00,5.52E+00,#NUM!
KXD1,5.60E-01,8.38E-01,9.47E-01,-1.06E+00,3.68E+01,3.89E+01,#NUM!
SRSF7,6.17E-01,8.68E-01,9.47E-01,-1.06E+00,1.34E+02,1.42E+02,#NUM!
JPT2,5.13E-01,8.12E-01,9.47E-01,-1.06E+00,9.48E+01,1.00E+02,#NUM!
UBE2J1,6.62E-01,8.88E-01,9.47E-01,-1.06E+00,2.23E+01,2.36E+01,#NUM!
INTS4,5.75E-01,8.47E-01,9.47E-01,-1.06E+00,9.65E+00,1.02E+01,#NUM!
XYLT2,6.11E-01,8.65E-01,9.47E-01,-1.06E+00,1.50E+01,1.58E+01,#NUM!
ATG16L2,9.30E-01,9.83E-01,9.47E-01,-1.06E+00,2.53E+00,2.67E+00,#NUM!
AC012510.1,3.92E-01,7.30E-01,9.47E-01,-1.06E+00,1.81E+00,1.91E+00,#NUM!
PQBP1,5.95E-01,8.57E-01,9.47E-01,-1.06E+00,2.76E+01,2.92E+01,#NUM!
RAB21,7.79E-01,9.39E-01,9.47E-01,-1.06E+00,3.34E+01,3.52E+01,#NUM!
DDX24,2.73E-01,6.23E-01,9.47E-01,-1.06E+00,1.81E+02,1.91E+02,#NUM!
FADS1,2.83E-01,6.34E-01,9.47E-01,-1.06E+00,4.11E+02,4.34E+02,#NUM!
CCNA2,5.66E-01,8.42E-01,9.47E-01,-1.06E+00,4.32E+01,4.56E+01,#NUM!
JTB,3.69E-01,7.11E-01,9.47E-01,-1.06E+00,1.18E+02,1.25E+02,#NUM!
SLC16A1-AS1,4.95E-01,8.00E-01,9.47E-01,-1.06E+00,1.82E+01,1.92E+01,#NUM!
RANBP3,5.68E-01,8.43E-01,9.47E-01,-1.06E+00,2.50E+01,2.64E+01,#NUM!
CDT1,4.17E-01,7.48E-01,9.47E-01,-1.06E+00,3.39E+01,3.57E+01,#NUM!
THBD,6.47E-01,8.82E-01,9.47E-01,-1.06E+00,5.55E+00,5.86E+00,#NUM!
SLC35F2,5.33E-01,8.23E-01,9.47E-01,-1.06E+00,2.12E+01,2.24E+01,#NUM!
